scorer,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000
bodyparts,snout,snout,snout,tailbase,tailbase,tailbase,leftear,leftear,leftear,rightear,rightear,rightear,leftflank,leftflank,leftflank,rightflank,rightflank,rightflank,leftfrontpaw,leftfrontpaw,leftfrontpaw,rightfrontpaw,rightfrontpaw,rightfrontpaw,leftbackpaw,leftbackpaw,leftbackpaw,rightbackpaw,rightbackpaw,rightbackpaw
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,369.2277774810791,306.28417110443115,0.2264084815979004,368.06052684783936,479.24647283554077,0.9994373917579651,460.78944331407547,330.70944821834564,0.9887593984603882,493.0426502227783,335.47660875320435,0.9976834654808044,410.4238568544388,398.48052406311035,0.9990478754043579,474.425714969635,417.7170190811157,0.9962880611419678,452.8980985879898,325.84844052791595,0.004493266344070435,501.26203095912933,352.62736415863037,0.25042134523391724,409.968759059906,398.3537275791168,0.01614004373550415,386.99064207077026,433.61228132247925,0.02985936403274536
1,370.226375579834,306.28417110443115,0.019810855388641357,369.8364555835724,479.24647283554077,0.9988969564437866,463.10233759880066,330.70944821834564,0.9855632781982422,493.84035539627075,335.47660875320435,0.9958797693252563,412.6908349990845,398.48052406311035,0.9990933537483215,474.9614977836609,417.7170190811157,0.994322657585144,457.9445197582245,354.1301724910736,0.0015767216682434082,502.5072638988495,352.62736415863037,0.05356508493423462,410.88779640197754,398.3537275791168,0.0074288249015808105,475.5592439174652,448.69814252853394,0.0074329376220703125
2,421.3956708908081,365.12225103378296,0.013620853424072266,372.1109628453851,479.24647283554077,0.9990683197975159,464.53929567337036,330.70944821834564,0.9928076267242432,495.4381127357483,335.47660875320435,0.9882303476333618,415.6141314506531,398.48052406311035,0.9994333982467651,477.8700581789017,417.7170190811157,0.9936623573303223,458.98112177848816,354.1301724910736,0.0019508302211761475,503.0304079055786,352.62736415863037,0.1413547396659851,412.2408247590065,398.3537275791168,0.013813674449920654,476.1459521204233,448.69814252853394,0.018379271030426025
3,443.78218364715576,384.9034037590027,0.025824546813964844,378.51654291152954,479.24647283554077,0.9994477033615112,466.87671422958374,330.70944821834564,0.9602348804473877,497.37992310523987,335.47660875320435,0.9944448471069336,420.40843990445137,398.48052406311035,0.9995395541191101,483.55085721611977,417.7170190811157,0.9997034072875977,458.98112177848816,373.583801984787,0.004741638898849487,503.0304079055786,376.7726788520813,0.1208239495754242,417.0910573005676,398.3537275791168,0.043036848306655884,476.1459521204233,448.69814252853394,0.05155697464942932
4,458.42856216430664,384.9034037590027,0.052475184202194214,394.74342131614685,479.24647283554077,0.9996556043624878,469.8061852455139,330.70944821834564,0.9902521967887878,497.4994251728058,335.47660875320435,0.9938113689422607,423.5953140258789,398.48052406311035,0.9996718168258667,491.43709659576416,417.7170190811157,0.998090386390686,461.0695003271103,373.583801984787,0.007127493619918823,505.42914152145386,376.7726788520813,0.02230021357536316,419.0239119529724,398.3537275791168,0.022491127252578735,481.99074506759644,448.69814252853394,0.05391782522201538
5,478.0119307041168,384.9034037590027,0.00461152195930481,417.0462086200714,479.24647283554077,0.9995169639587402,473.4516878128052,330.70944821834564,0.9943782687187195,501.48376417160034,335.47660875320435,0.9834402799606323,425.2075493335724,398.48052406311035,0.9986155033111572,501.0017685890198,417.7170190811157,0.9993302226066589,461.3132543563843,373.583801984787,0.007435262203216553,508.95486855506897,376.7726788520813,0.016514480113983154,425.33337211608887,398.3537275791168,0.052283018827438354,482.4100214242935,448.69814252853394,0.05298873782157898
6,480.16448497772217,384.9034037590027,0.003614962100982666,439.0831115245819,479.24647283554077,0.9990725517272949,476.1340138167143,330.70944821834564,0.9955548048019409,503.5281217098236,335.47660875320435,0.9968622922897339,438.4255268573761,398.48052406311035,0.9969011545181274,515.063558280468,417.7170190811157,0.9996141195297241,466.3208442926407,373.583801984787,0.00402522087097168,509.3800331354141,376.7726788520813,0.01676201820373535,432.8165559768677,398.3537275791168,0.027766138315200806,491.4343510866165,448.69814252853394,0.03171783685684204
7,488.1181969642639,384.9034037590027,0.005849182605743408,451.032038629055,479.24647283554077,0.9986330270767212,478.2167978286743,330.70944821834564,0.9832437634468079,509.8094096183777,335.47660875320435,0.9984080195426941,447.3801085948944,398.48052406311035,0.9957956075668335,525.3533999919891,417.7170190811157,0.9974559545516968,466.69659423828125,373.583801984787,0.0061775147914886475,512.0989017486572,376.7726788520813,0.02130359411239624,443.6674794256687,398.3537275791168,0.030429154634475708,502.5644624233246,448.69814252853394,0.017657309770584106
